vdnumber,registered,valid,spoilt,total
54210114,1918,1395,12,1407
22600134,1949,1379,17,1396
11640428,337,228,6,234
43362132,1513,1115,11,1126
54830022,3689,2906,30,2936
98280175,1047,877,10,887
43370692,1499,1374,25,1399
76170236,1018,617,7,624
33020323,2961,2443,6,2449
43413285,494,331,8,339
10870949,360,224,17,241
11752286,340,323,3,326
43900039,1973,1143,20,1163
76310108,700,452,6,458
11800954,622,481,7,488
10870927,464,374,15,389
10590735,4017,2948,6,2954
11831217,724,534,3,537
33020468,1790,1583,8,1591
65530100,314,193,2,195
10090088,2382,1246,15,1261
10940363,163,80,0,80
54300013,2526,1769,48,1817
32930894,1132,820,10,830
65040016,936,679,20,699
22720036,2158,1365,20,1385
11600963,431,296,6,302
10840171,475,321,4,325
43413836,1725,1081,20,1101
32950469,2587,1560,8,1568
54470134,381,296,6,302
43580729,841,578,13,591
54540110,1151,745,1,746
44070061,2099,1368,15,1383
11771265,797,469,76,545
32980125,4642,4324,20,4344
32951932,3539,3181,13,3194
11820282,671,355,0,355
76320570,460,204,2,206
43360309,1695,1111,12,1123
10950128,518,345,1,346
11821351,323,233,12,245
43450051,1306,1115,20,1135
22120074,259,180,4,184
76320806,1919,1023,13,1036
54880229,1607,1284,12,1296
10870938,243,157,0,157
43950764,1510,1273,57,1330
97141800,3815,2388,31,2419
43371569,1153,823,12,835
54890073,373,178,5,183
54790858,771,848,20,868
86910598,1155,1424,0,1424
33000309,4333,3638,19,3657
43582912,755,636,4,640
76101421,397,329,4,333
76210376,601,365,9,374
98400124,2567,1731,9,1740
22600055,2169,1407,85,1492
76220209,1357,836,11,847
76210196,1925,1094,16,1110
76480230,1276,719,12,731
43622377,340,200,2,202
11780029,919,619,11,630
43413342,811,622,14,636
10870264,449,276,6,282
10591387,331,299,2,301
76240278,2246,1326,13,1339
32960101,1673,1211,11,1222
54410341,74,62,6,68
33030223,2722,2010,34,2044
43411485,397,266,9,275
98290019,2721,2042,22,2064
76101094,647,440,6,446
86870076,2168,1534,51,1585
43390874,2979,2822,30,2852
10251100,2381,2226,6,2232
32940963,957,807,10,817
10251818,5407,3581,64,3645
11591041,587,406,6,412
11580263,1005,673,10,683
86662301,1983,1086,12,1098
54610286,1129,900,22,922
76300477,1580,934,30,964
11650104,525,236,4,240
10940521,990,842,13,855
54570405,620,571,15,586
76480410,70,44,0,44
76310030,616,368,6,374
65440380,3373,2418,54,2472
22620068,883,639,6,645
43625370,964,701,21,722
97710105,1267,710,3,713
43992973,1398,1047,22,1069
43970047,715,704,23,727
32930681,1490,1219,10,1229
43773532,614,414,13,427
43503881,1460,1023,11,1034
22490120,624,495,4,499
33010209,2938,2442,40,2482
33170048,2914,1819,16,1835
86661232,1707,1155,0,1155
10890435,184,129,1,130
10251380,1387,1094,13,1107
54780015,771,723,5,728
33000365,2178,1539,7,1546
76220894,874,500,4,504
43411025,889,634,7,641
10850802,535,399,6,405
